name,gu,address,longitude,latitude,_id,guId,,,,,
구로동,구로구,구로구 구로동,126.8824861,37.49372768,63445ab0adb5727d4d0082c5,63441a94be26106c41c6d738,,,,,
오류동,구로구,구로구 오류동,126.8382937,37.49221966,63445ab0adb5727d4d0082c6,63441a94be26106c41c6d738,,,,,
온수동,구로구,구로구 온수동,126.8207514,37.49366905,63445ab0adb5727d4d0082c7,63441a94be26106c41c6d738,,,,,
신도림동,구로구,구로구 신도림동,126.8829518,37.51059452,63445ab0adb5727d4d0082c8,63441a94be26106c41c6d738,,,,,
궁동,구로구,구로구 궁동,126.8278251,37.50100162,63445ab0adb5727d4d0082c9,63441a94be26106c41c6d738,,,,,
천왕동,구로구,구로구 천왕동,126.8391716,37.48112616,63445ab0adb5727d4d0082ca,63441a94be26106c41c6d738,,,,,
항동,구로구,구로구 항동,126.8259374,37.48108349,63445ab0adb5727d4d0082cb,63441a94be26106c41c6d738,,,,,
월계동,노원구,노원구 월계동,127.0540225,37.62955716,63445ab0adb5727d4d0082cc,63441aa3be26106c41c6d739,,,,,
공릉동,노원구,노원구 공릉동,127.087394,37.63043446,63445ab0adb5727d4d0082cd,63441aa3be26106c41c6d739,,,,,
하계동,노원구,노원구 하계동,127.0740419,37.63846269,63445ab0adb5727d4d0082ce,63441aa3be26106c41c6d739,,,,,
중계동,노원구,노원구 중계동,127.0811684,37.65094633,63445ab0adb5727d4d0082cf,63441b80be26106c41c6d73a,,,,,
시흥동,금천구,금천구 시흥동,126.9118592,37.44964285,63445ab0adb5727d4d0082d0,63441b80be26106c41c6d73a,,,,,
상계동,노원구,노원구 상계동,127.0722769,37.66636668,63445ab0adb5727d4d0082d1,63441b80be26106c41c6d73a,,,,,
독산동,금천구,금천구 독산동,126.9007561,37.46643569,63445ab0adb5727d4d0082d2,63441b80be26106c41c6d73a,,,,,
쌍문동,도봉구,도봉구 쌍문동,127.024788,37.65254664,63445ab0adb5727d4d0082d3,63441b80be26106c41c6d73a,,,,,
방학동,도봉구,도봉구 방학동,127.0332898,37.66465347,63445ab0adb5727d4d0082d4,63441b91be26106c41c6d73b,,,,,
가산동,금천구,금천구 가산동,126.8865564,37.47548176,63445ab0adb5727d4d0082d5,63441b91be26106c41c6d73b,,,,,
제기동,동대문구,동대문구 제기동,127.0371359,37.5847843,63445ab0adb5727d4d0082d6,63441b91be26106c41c6d73b,,,,,
용두동,동대문구,동대문구 용두동,127.0363952,37.57628963,63445ab0adb5727d4d0082d7,63441b91be26106c41c6d73b,,,,,
전농동,동대문구,동대문구 전농동,127.0569413,37.58032514,63445ab0adb5727d4d0082d8,63441b98be26106c41c6d73c,,,,,
장안동,동대문구,동대문구 장안동,127.0716752,37.57115502,63445ab0adb5727d4d0082d9,63441b98be26106c41c6d73c,,,,,
답십리동,동대문구,동대문구 답십리동,127.05646,37.57005459,63445ab0adb5727d4d0082da,63441b98be26106c41c6d73c,,,,,
도봉동,도봉구,도봉구 도봉동,127.0302195,37.68520278,63445ab0adb5727d4d0082db,63441b98be26106c41c6d73c,,,,,
신설동,동대문구,동대문구 신설동,127.0255857,37.57478889,63445ab0adb5727d4d0082dc,63441b98be26106c41c6d73c,,,,,
청량리동,동대문구,동대문구 청량리동,127.0461507,37.58831358,63445ab0adb5727d4d0082dd,63441b98be26106c41c6d73c,,,,,
회기동,동대문구,동대문구 회기동,127.0509581,37.59453657,63445ab0adb5727d4d0082de,63441b98be26106c41c6d73c,,,,,
